drug_claim_name	drug_name	concept_id	drug_claim_source
Dipeptide analog 1			TTD
135652004			GuideToPharmacology
Carbamide derivative 5			TTD
329968416	CHEMBL1084513	chembl:CHEMBL1084513	GuideToPharmacology
328083479			GuideToPharmacology
DB08816	TICAGRELOR	chembl:CHEMBL398435	DrugBank
DEOXYCOFORMYCIN	PENTOSTATIN	chembl:CHEMBL1580	NCI
CWP232291			TTD
178102089			GuideToPharmacology
chembl:CHEMBL1650818	AMDINOCILLIN PIVOXIL	chembl:CHEMBL1650818	ChemblDrugs
Irinotecan	IRINOTECAN	chembl:CHEMBL481	JAX-CKB
Thiazole derivative 5			TTD
CHEMBL2403108	CERITINIB	chembl:CHEMBL2403108	ChemblInteractions
chembl:CHEMBL325434	CHEMBL325434	chembl:CHEMBL325434	ChemblDrugs
223366000			GuideToPharmacology
POH			NCI
Gabexate	GABEXATE	chembl:CHEMBL87563	TTD
ISIS-APOCIII			TTD
Ritonavir	RITONAVIR	chembl:CHEMBL163	TTD
PEMETREXED	PEMETREXED	chembl:CHEMBL225072	TdgClinicalTrial
252827482			GuideToPharmacology
PMID28051882-Compound-XI			TTD
chembl:CHEMBL121626	TOLFENAMIC ACID	chembl:CHEMBL121626	ChemblDrugs
MG98			TdgClinicalTrial
FP-045			TTD
Bifonazole	BIFONAZOLE	chembl:CHEMBL277535	TTD
chembl:CHEMBL1200395	ORPHENADRINE CITRATE	chembl:CHEMBL1200395	ChemblDrugs
DB06865			DrugBank
taxanes			PharmGKB
Pyridotriazolopyrimidine derivative 3			TTD
AZD6738	CERALASERTIB	chembl:CHEMBL4297189	CGI
chembl:CHEMBL605077	CHEMBL605077	chembl:CHEMBL605077	ChemblDrugs
Peptide analog 19			TTD
249565722			GuideToPharmacology
chembl:CHEMBL69863	PICEATANNOL	chembl:CHEMBL69863	ChemblDrugs
chembl:CHEMBL2178596	CHEMBL2178596	chembl:CHEMBL2178596	ChemblDrugs
178101732			GuideToPharmacology
PARNATE	PARNATE	wikidata:Q47521966	DTC
chembl:CHEMBL4297690	ALT-803	chembl:CHEMBL4297690	ChemblDrugs
REPOTRECTINIB	REPOTRECTINIB	chembl:CHEMBL4298138	CIViC
DB07527	CHEMBL379692	chembl:CHEMBL379692	DrugBank
chembl:CHEMBL1451874	LECANORIC ACID	chembl:CHEMBL1451874	ChemblDrugs
chembl:CHEMBL3833307	SATRALIZUMAB	chembl:CHEMBL3833307	ChemblDrugs
chembl:CHEMBL669	CYCLOBENZAPRINE	chembl:CHEMBL669	ChemblDrugs
chembl:CHEMBL3545166	DRINABANT	chembl:CHEMBL3545166	ChemblDrugs
Suronacrine maleate			TTD
RNS-60			TTD
TESTOLACTONE	TESTOLACTONE	chembl:CHEMBL1571	DTC
Doxazosin	DOXAZOSIN	chembl:CHEMBL707	TTD
DB00026	ANAKINRA	chembl:CHEMBL1201570	DrugBank
CALYCULIN A	CALYCULIN A	chembl:CHEMBL430266	DTC
135652586			GuideToPharmacology
ODT-8	CHEMBL452157	chembl:CHEMBL452157	DTC
NSC-145669	CHEMBL191611	chembl:CHEMBL191611	DTC
7RH			JAX-CKB
ENDOMORPHIN-1	ENDOMORPHIN-1	chembl:CHEMBL316446	DTC
PACLITAXEL	PACLITAXEL	chembl:CHEMBL428647	TEND
chembl:CHEMBL1182210	BENZETHONIUM	chembl:CHEMBL1182210	ChemblDrugs
Quinestrol	QUINESTROL	chembl:CHEMBL1201165	TTD
chembl:CHEMBL242967	CHEMBL242967	chembl:CHEMBL242967	ChemblDrugs
chembl:CHEMBL347862	CARBOXYMETHOXYLAMINE	chembl:CHEMBL347862	ChemblDrugs
PMID25482888-Compound-16			TTD
chembl:CHEMBL1237102	LEVOCABASTINE HYDROCHLORIDE	chembl:CHEMBL1237102	ChemblDrugs
Carbamide derivative 4			TTD
CHEMBL1372	OXIGLUTATIONE	chembl:CHEMBL1372	ChemblInteractions
G007-LK			JAX-CKB
METHYLPREDNISOLONE SODIUM SUCCINATE	METHYLPREDNISOLONE SODIUM SUCCINATE	chembl:CHEMBL1201081	DTC
NITROFEN	NITROFEN	chembl:CHEMBL561004	DTC
CHEMBL3545137	PF-00477736	chembl:CHEMBL3545137	ChemblInteractions
Thiazole carboxamide derivative 27			TTD
AT9283	AT-9283	chembl:CHEMBL495727	TALC
chembl:CHEMBL3545417	GLPG0492	chembl:CHEMBL3545417	ChemblDrugs
REL-8ALPHA-TIGLOYLOXYHIRSUTINOLIDE	CHEMBL2062862	chembl:CHEMBL2062862	DTC
DB02803			DrugBank
chembl:CHEMBL546649	CHEMBL546649	chembl:CHEMBL546649	ChemblDrugs
178103303			GuideToPharmacology
methadone	METHADONE	chembl:CHEMBL651	PharmGKB
chembl:CHEMBL48813	CHEMBL48813	chembl:CHEMBL48813	ChemblDrugs
GNF-PF-3876	CHEMBL596631	chembl:CHEMBL596631	DTC
chembl:CHEMBL276864	CHEMBL276864	chembl:CHEMBL276864	ChemblDrugs
DB00800	FENOLDOPAM	chembl:CHEMBL588	DrugBank
PMID25399762-Compound-Table1-C18			TTD
chembl:CHEMBL2024096	CHEMBL2024096	chembl:CHEMBL2024096	ChemblDrugs
